,Mode,Layer_name,Sample_id,Cardinality,Pattern,Misprediction
101,Ranger_Clipping_Value,classes_conv2d,0,11,4,0
102,Ranger_Clipping_Value,classes_conv2d,0,5,4,0
103,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
104,Ranger_Clipping_Value,classes_conv2d,0,13,4,0
105,Ranger_Clipping_Value,classes_conv2d,0,6,0,0
106,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
107,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
108,Ranger_Clipping_Value,classes_conv2d,0,11,4,0
109,Ranger_Clipping_Value,classes_conv2d,0,30,6,0
110,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
111,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
112,Ranger_Clipping_Value,classes_conv2d,0,63,4,0
113,Ranger_Clipping_Value,classes_conv2d,0,15,0,0
114,Ranger_Clipping_Value,classes_conv2d,0,15,0,0
115,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
116,Ranger_Clipping_Value,classes_conv2d,0,10,0,0
117,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
118,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
119,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
120,Ranger_Clipping_Value,classes_conv2d,0,4,5,0
121,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
122,Ranger_Clipping_Value,classes_conv2d,0,55,4,0
123,Ranger_Clipping_Value,classes_conv2d,0,29,6,0
124,Ranger_Clipping_Value,classes_conv2d,0,5,0,0
125,Ranger_Clipping_Value,classes_conv2d,0,13,0,0
126,Ranger_Clipping_Value,classes_conv2d,0,44,4,0
127,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
128,Ranger_Clipping_Value,classes_conv2d,0,7,0,0
129,Ranger_Clipping_Value,classes_conv2d,0,6,4,0
130,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
131,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
132,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
133,Ranger_Clipping_Value,classes_conv2d,0,3,4,0
134,Ranger_Clipping_Value,classes_conv2d,0,16,0,0
135,Ranger_Clipping_Value,classes_conv2d,0,1,-1,0
136,Ranger_Clipping_Value,classes_conv2d,0,16,5,0
137,Ranger_Clipping_Value,classes_conv2d,0,47,4,0
