,no,layer_name,epoch,Num_wrong_box_shape,Num_wrong_box_count,TOT_num_misclassification,Robustness,V_f1_score,I_f1_score,V_accuracy_score,I_accuracy_score,V_precision,I_precision,V_recall,I_recall
0,0,batch_normalization_5,5,0,1535,1535,0.6388235294117647,0.6666666666666667,0.8973673385438092,0.5,0.8138407013616863,0.7447916666666666,0.886068237205524,0.6033755274261603,0.9089583333333332
0,0,batch_normalization_5,10,0,1491,1491,0.6572413793103449,0.7482993197278912,0.8968803733726358,0.5978260869565217,0.8130399928743208,0.8088235294117647,0.8988675529295913,0.6962025316455697,0.8949019607843137
0,0,batch_normalization_5,15,0,1490,1490,0.6574712643678161,0.7466063348416291,0.897687181497452,0.5956678700361011,0.8143669985775249,0.8048780487804879,0.901752313447529,0.6962025316455697,0.8936585365853659
0,0,batch_normalization_5,20,0,1505,1505,0.6540229885057471,0.7466063348416291,0.8928554058654735,0.5956678700361011,0.8064487787735021,0.8048780487804879,0.8902143342061876,0.6962025316455697,0.8955121951219512
0,0,batch_normalization_5,25,0,1526,1526,0.6491954022988506,0.751131221719457,0.8944605269613857,0.6014492753623188,0.8090715426948341,0.8097560975609757,0.8997137498766163,0.70042194092827,0.8892682926829268
0,0,batch_normalization_5,30,0,1454,1454,0.6657471264367816,0.751131221719457,0.901795762587464,0.6014492753623188,0.8211548743539476,0.8097560975609757,0.9045842740748012,0.70042194092827,0.8990243902439025
0,0,batch_normalization_5,35,0,1573,1573,0.6425000000000001,0.7375565610859728,0.8896849543625478,0.5842293906810035,0.801290550693892,0.7990196078431373,0.890646492434663,0.6848739495798319,0.8887254901960784
