,no,layer_name,epoch,Num_wrong_box_shape,Num_wrong_box_count,TOT_num_misclassification,Robustness,V_f1_score,I_f1_score,V_accuracy_score,I_accuracy_score,V_precision,I_precision,V_recall,I_recall
0,0,batch_normalization_5,5,0,2045,2045,0.5352272727272727,0.672686230248307,0.8373153563993259,0.5068027210884354,0.720156889495225,0.7268292682926829,0.851068117694478,0.6260504201680672,0.824
0,0,batch_normalization_5,10,0,2015,2015,0.5619565217391305,0.7516483516483516,0.8367756166031683,0.602112676056338,0.7193587312532322,0.8260869565217391,0.8695561575328193,0.6895161290322581,0.8063768115942029
0,0,batch_normalization_5,15,0,1923,1923,0.5819565217391305,0.7500000000000001,0.8527858658638899,0.6,0.7433536952593994,0.8221153846153846,0.8760012166683565,0.6895161290322581,0.8307692307692308
0,0,batch_normalization_5,20,0,1967,1967,0.5676923076923077,0.7549668874172186,0.842892022522298,0.6063829787234043,0.7284471621738007,0.8260869565217391,0.8702541413725692,0.6951219512195121,0.8171980676328502
0,0,batch_normalization_5,25,0,1969,1969,0.5719565217391305,0.7516483516483516,0.8468262640309923,0.602112676056338,0.7343440434145921,0.8260869565217391,0.8713205233033524,0.6895161290322581,0.8236714975845411
0,0,batch_normalization_5,30,0,1880,1880,0.5913043478260869,0.7500000000000001,0.854833941066325,0.6,0.7464716006884682,0.8221153846153846,0.8766929452193248,0.6895161290322581,0.8340384615384615
0,0,batch_normalization_5,35,0,1922,1922,0.5821739130434782,0.7516483516483516,0.8512998266897748,0.602112676056338,0.7410983705491853,0.8260869565217391,0.8731335703402743,0.6895161290322581,0.8305314009661836
