Layer_name,Not_equal_num_boxes
batch_normalization,
batch_normalization_1,
batch_normalization_2,0.41533333333333333
batch_normalization_3,0.34355555555555556
batch_normalization_4,0.366875
batch_normalization_5,0.4771739130434783
batch_normalization_6,0.21409090909090908
batch_normalization_7,0.3043010752688172
batch_normalization_8,0.2290909090909091
batch_normalization_9,0.29869565217391303
batch_normalization_25,
batch_normalization_42,
batch_normalization_56,
batch_normalization_71,
conv2d,
conv2d_1,0.36157303370786514
conv2d_2,0.14466666666666667
conv2d_3,0.2351063829787234
conv2d_4,0.2425531914893617
conv2d_5,0.11820224719101123
conv2d_6,0.2955056179775281
conv2d_7,0.2346236559139785
conv2d_8,0.20884210526315788
conv2d_9,0.19869565217391305
conv2d_25,0.11377777777777778
conv2d_42,0.09824175824175824
conv2d_56,0.02838709677419355
conv2d_71,
