Layer_name,Not_equal_num_boxes
batch_normalization,
batch_normalization_1,
batch_normalization_2,0.22088888888888888
batch_normalization_3,0.35977777777777775
batch_normalization_4,0.40347826086956523
batch_normalization_5,0.4713684210526316
batch_normalization_6,0.25355555555555553
batch_normalization_7,0.29488888888888887
batch_normalization_8,0.2426086956521739
batch_normalization_9,0.33590909090909093
batch_normalization_25,
batch_normalization_42,
batch_normalization_56,
batch_normalization_71,
conv2d,
conv2d_1,0.3931764705882353
conv2d_2,0.25148936170212766
conv2d_3,0.26448979591836735
conv2d_4,0.28872340425531917
conv2d_5,0.10659340659340659
conv2d_6,0.24721649484536082
conv2d_7,0.24357894736842106
conv2d_8,0.23333333333333334
conv2d_9,0.22323232323232323
conv2d_25,0.11844444444444445
conv2d_42,0.12879120879120878
conv2d_56,0.04795454545454545
conv2d_71,
