,layer_name,sample_id,num_of_injection,misclassifications,fault_tollerance
282,classes_conv2d_2,82,100,11,False
283,classes_conv2d_2,83,100,14,False
284,classes_conv2d_2,84,100,8,False
285,classes_conv2d_2,85,100,10,False
286,classes_conv2d_2,86,100,16,False
287,classes_conv2d_2,87,100,11,False
288,classes_conv2d_2,88,100,10,False
289,classes_conv2d_2,89,100,12,False
290,classes_conv2d_2,90,100,13,False
291,classes_conv2d_2,91,100,11,False
292,classes_conv2d_2,92,100,14,False
293,classes_conv2d_2,93,100,14,False
294,classes_conv2d_2,94,100,18,False
295,classes_conv2d_2,95,100,12,False
296,classes_conv2d_2,96,100,12,False
297,classes_conv2d_2,97,100,18,False
298,classes_conv2d_2,98,100,15,False
299,classes_conv2d_2,99,100,13,False
