,Set,Layer_name,Sample_id,Cardinality,Pattern,IOU,Golden_num_boxes,Faulty_num_boxes,Precision,Recall,F1_score,True_positives,False_positives,False_negatives,Error
46,valid,batch_normalization_5,0,32.0,1004.0,0.9853579998016357,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
47,valid,batch_normalization_5,0,32.0,1004.0,0.9879989624023438,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
48,valid,batch_normalization_5,0,32.0,1004.0,0.9879300594329834,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
49,valid,batch_normalization_5,0,32.0,1004.0,0.9780976176261902,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
50,valid,batch_normalization_5,1,,,,,,,,,,,,Golden prediction has no boxes
51,valid,batch_normalization_5,2,32.0,1004.0,0.45299914479255676,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
52,valid,batch_normalization_5,2,32.0,1004.0,0.5586452484130859,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
53,valid,batch_normalization_5,2,32.0,1004.0,0.5514985918998718,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
54,valid,batch_normalization_5,2,32.0,1004.0,0.41264957189559937,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
55,valid,batch_normalization_5,2,32.0,1004.0,0.44745686650276184,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
56,valid,batch_normalization_5,2,32.0,1004.0,0.4415132999420166,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
57,valid,batch_normalization_5,2,32.0,1004.0,0.3981339931488037,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
58,valid,batch_normalization_5,2,32.0,1004.0,0.596165657043457,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
59,valid,batch_normalization_5,2,32.0,1004.0,0.7919886112213135,2.0,11.0,0.18181818181818182,1.0,0.3076923076923077,2.0,9.0,0.0,
60,valid,batch_normalization_5,2,32.0,1004.0,0.9466391801834106,2.0,3.0,0.6666666666666666,1.0,0.8,2.0,1.0,0.0,
61,valid,batch_normalization_5,2,32.0,1004.0,0.5711280107498169,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
62,valid,batch_normalization_5,2,32.0,1004.0,0.35154059529304504,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
63,valid,batch_normalization_5,2,32.0,1004.0,0.3745667338371277,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
64,valid,batch_normalization_5,2,32.0,1004.0,0.4259476959705353,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
65,valid,batch_normalization_5,2,32.0,1004.0,0.5319924354553223,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
66,valid,batch_normalization_5,2,32.0,1004.0,0.43362829089164734,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
67,valid,batch_normalization_5,2,32.0,1004.0,0.41796737909317017,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
68,valid,batch_normalization_5,2,32.0,1004.0,0.5496392250061035,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
69,valid,batch_normalization_5,2,32.0,1004.0,0.5387895703315735,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
70,valid,batch_normalization_5,2,32.0,1004.0,0.43133309483528137,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
71,valid,batch_normalization_5,2,32.0,1004.0,0.4152461588382721,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
72,valid,batch_normalization_5,2,32.0,1004.0,0.35154062509536743,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
73,valid,batch_normalization_5,2,32.0,1004.0,0.41177472472190857,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
74,valid,batch_normalization_5,2,32.0,1004.0,0.555592954158783,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
75,valid,batch_normalization_5,2,32.0,1004.0,0.4390681982040405,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
76,valid,batch_normalization_5,2,32.0,1004.0,0.40785080194473267,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
77,valid,batch_normalization_5,2,32.0,1004.0,0.42217427492141724,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
78,valid,batch_normalization_5,2,32.0,1004.0,0.35129591822624207,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
79,valid,batch_normalization_5,2,32.0,1004.0,0.43138372898101807,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
80,valid,batch_normalization_5,2,32.0,1004.0,0.5428299307823181,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
81,valid,batch_normalization_5,2,32.0,1004.0,0.42304226756095886,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
82,valid,batch_normalization_5,2,32.0,1004.0,0.42998576164245605,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
83,valid,batch_normalization_5,2,32.0,1004.0,0.3461206257343292,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
84,valid,batch_normalization_5,2,32.0,1004.0,0.3513765335083008,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
85,valid,batch_normalization_5,2,32.0,1004.0,0.4001517593860626,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
86,valid,batch_normalization_5,2,32.0,1004.0,0.4346482753753662,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
87,valid,batch_normalization_5,2,32.0,1004.0,0.4531916677951813,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
88,valid,batch_normalization_5,2,32.0,1004.0,0.40479576587677,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
89,valid,batch_normalization_5,2,32.0,1004.0,0.5424677729606628,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
90,valid,batch_normalization_5,2,32.0,1004.0,0.43894681334495544,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
91,valid,batch_normalization_5,2,32.0,1004.0,0.594247579574585,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
92,valid,batch_normalization_5,2,32.0,1004.0,0.5585455894470215,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
93,valid,batch_normalization_5,2,32.0,1004.0,0.42217427492141724,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
94,valid,batch_normalization_5,2,32.0,1004.0,0.5388091206550598,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
95,valid,batch_normalization_5,2,32.0,1004.0,0.41604161262512207,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
96,valid,batch_normalization_5,2,32.0,1004.0,0.5405517220497131,2.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,
97,valid,batch_normalization_5,2,32.0,1004.0,0.34884539246559143,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
98,valid,batch_normalization_5,2,32.0,1004.0,0.45299914479255676,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
99,valid,batch_normalization_5,2,32.0,1004.0,0.453003853559494,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
100,valid,batch_normalization_5,2,32.0,1004.0,0.4077557325363159,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
101,valid,batch_normalization_5,3,32.0,1004.0,0.9568791389465332,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
102,valid,batch_normalization_5,3,32.0,1004.0,0.962419331073761,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
103,valid,batch_normalization_5,3,32.0,1004.0,0.9770968556404114,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
104,valid,batch_normalization_5,3,32.0,1004.0,0.9668982625007629,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
105,valid,batch_normalization_5,3,32.0,1004.0,0.9681010842323303,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
106,valid,batch_normalization_5,3,32.0,1004.0,0.9678804874420166,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
107,valid,batch_normalization_5,3,32.0,1004.0,0.9568791389465332,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
108,valid,batch_normalization_5,3,32.0,1004.0,0.963491678237915,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
109,valid,batch_normalization_5,3,32.0,1004.0,0.9666405320167542,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
110,valid,batch_normalization_5,3,32.0,1004.0,0.9686678051948547,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
111,valid,batch_normalization_5,3,32.0,1004.0,0.9684696793556213,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
112,valid,batch_normalization_5,3,32.0,1004.0,0.9792969822883606,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
113,valid,batch_normalization_5,3,32.0,1004.0,0.9683213233947754,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
114,valid,batch_normalization_5,3,32.0,1004.0,0.9681935906410217,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
115,valid,batch_normalization_5,3,32.0,1004.0,0.9660418629646301,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
116,valid,batch_normalization_5,3,32.0,1004.0,0.2835609018802643,3.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,2.0,
117,valid,batch_normalization_5,3,32.0,1004.0,0.969504177570343,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
118,valid,batch_normalization_5,3,32.0,1004.0,0.9670805931091309,3.0,5.0,0.6,1.0,0.7499999999999999,3.0,2.0,0.0,
119,valid,batch_normalization_5,3,32.0,1004.0,0.9580919146537781,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
120,valid,batch_normalization_5,3,32.0,1004.0,0.9523911476135254,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
121,valid,batch_normalization_5,3,32.0,1004.0,0.9681010842323303,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
122,valid,batch_normalization_5,3,32.0,1004.0,0.9721698760986328,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
123,valid,batch_normalization_5,3,32.0,1004.0,0.9711429476737976,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
124,valid,batch_normalization_5,3,32.0,1004.0,0.9684300422668457,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
125,valid,batch_normalization_5,3,32.0,1004.0,0.2704809606075287,3.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,2.0,
126,valid,batch_normalization_5,3,32.0,1004.0,0.9652095437049866,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,
